source,target,weight,n_respondents
T04,T14,43.0,86
T04,E10,45.25,87
T04,E11,42.75,87
T04,E14,44.75,87
T04,E15,46.5,87
T04,S05,43.0,87
T04,V01,41.5,85
T04,V09,43.0,85
T04,V13,45.0,85
T04,V14,41.5,85
T04,V15,40.75,85
T05,E10,41.25,87
T05,E11,42.5,87
T05,E14,41.25,87
T05,E15,45.25,87
T05,S05,44.75,87
T05,S07,41.75,86
T05,S11,44.25,87
T05,V01,40.75,85
T05,V06,41.0,84
T05,V09,41.0,85
T05,V13,43.25,85
T05,V14,41.0,85
T06,T14,41.5,86
T06,E10,46.0,87
T06,E11,45.0,87
T06,E14,46.75,87
T06,E15,47.5,87
T06,S05,43.5,87
T06,S07,42.5,86
T06,S09,41.0,85
T06,V02,42.0,85
T06,V06,41.25,84
T06,V07,42.0,85
T06,V09,47.25,85
T06,V13,46.25,85
T06,V14,43.75,85
T06,V15,43.5,85
T07,T14,41.25,86
T07,E11,44.25,87
T07,E14,40.75,87
T07,E15,45.0,87
T07,S05,42.5,87
T07,S07,42.0,86
T07,S09,41.0,85
T07,S11,43.75,87
T07,V01,45.0,85
T07,V09,41.0,85
T07,V13,45.75,85
T07,V14,43.25,85
T10,T14,42.75,86
T10,E10,42.75,87
T10,E11,44.75,87
T10,E14,41.75,87
T10,E15,44.75,87
T10,S05,47.25,87
T10,S11,40.75,87
T10,V09,42.25,85
T10,V13,44.75,85
T11,E11,43.0,85
T11,E15,43.5,85
T11,S05,44.25,85
T11,V13,42.5,83
T12,T14,41.0,85
T12,S05,42.25,86
T14,E01,41.25,86
T14,E07,43.75,86
T14,E10,53.75,86
T14,E11,52.25,86
T14,E14,49.5,86
T14,E15,55.75,86
T14,S01,42.75,85
T14,S03,42.25,86
T14,S05,55.25,86
T14,S06,49.0,86
T14,S07,47.75,85
T14,S09,48.0,84
T14,S10,42.0,83
T14,S11,48.75,86
T14,S12,42.75,85
T14,S13,43.25,86
T14,S14,43.75,83
T14,S15,43.25,85
T14,V01,51.0,84
T14,V02,50.0,84
T14,V04,45.0,85
T14,V05,42.0,85
T14,V06,45.5,83
T14,V07,46.0,84
T14,V08,42.5,84
T14,V09,52.25,84
T14,V11,43.75,83
T14,V13,55.75,84
T14,V14,50.5,84
T14,V15,47.5,84
T15,E11,41.5,86
T15,E15,44.25,86
T15,S05,42.25,86
T15,S11,41.5,86
T15,V09,41.25,84
T15,V13,43.5,84
E01,E10,48.25,87
E01,E11,47.75,87
E01,E14,45.5,87
E01,E15,50.5,87
E01,S05,46.75,87
E01,S06,44.75,87
E01,S07,45.0,86
E01,S09,44.5,85
E01,S11,46.75,87
E01,V01,44.5,85
E01,V02,41.75,85
E01,V05,43.0,86
E01,V06,43.25,84
E01,V07,46.25,85
E01,V09,47.5,85
E01,V13,47.5,85
E01,V14,47.5,85
E01,V15,42.25,85
E05,E15,41.5,85
E07,E10,49.0,87
E07,E11,49.0,87
E07,E14,48.0,87
E07,E15,51.25,87
E07,S05,47.25,87
E07,S06,44.75,87
E07,S07,42.75,86
E07,S09,44.5,85
E07,S11,48.0,87
E07,V01,44.25,85
E07,V02,42.75,85
E07,V05,41.25,86
E07,V06,43.25,84
E07,V07,46.5,85
E07,V08,40.75,85
E07,V09,48.5,85
E07,V13,49.0,85
E07,V14,47.0,85
E07,V15,44.25,85
E08,E10,42.75,85
E08,E11,46.5,85
E08,E14,43.25,85
E08,E15,48.75,85
E08,S05,44.0,85
E08,S07,40.75,84
E08,S09,41.0,83
E08,S11,42.25,85
E08,V01,41.0,84
E08,V02,41.75,83
E08,V07,41.0,83
E08,V09,46.75,83
E08,V13,45.5,83
E08,V14,42.75,83
E08,V15,41.0,83
E10,E11,56.5,87
E10,E14,55.75,87
E10,E15,60.5,87
E10,S01,44.25,86
E10,S03,42.5,87
E10,S04,41.75,87
E10,S05,56.75,87
E10,S06,52.5,87
E10,S07,51.75,86
E10,S09,51.25,85
E10,S10,43.75,84
E10,S11,54.0,87
E10,S12,44.25,86
E10,S13,45.75,87
E10,S14,46.75,84
E10,S15,46.25,86
E10,V01,52.75,85
E10,V02,51.5,85
E10,V04,47.25,86
E10,V05,47.25,86
E10,V06,50.5,84
E10,V07,52.0,85
E10,V08,45.0,85
E10,V09,57.25,85
E10,V11,46.0,84
E10,V13,58.25,85
E10,V14,54.75,85
E10,V15,52.25,85
E11,E14,57.0,87
E11,E15,63.25,87
E11,S01,46.75,86
E11,S03,45.5,87
E11,S04,42.0,87
E11,S05,59.5,87
E11,S06,51.5,87
E11,S07,52.75,86
E11,S09,53.5,85
E11,S10,45.25,84
E11,S11,57.75,87
E11,S12,47.5,86
E11,S13,46.0,87
E11,S14,46.75,84
E11,S15,44.25,86
E11,V01,53.75,85
E11,V02,53.0,85
E11,V04,50.25,86
E11,V05,50.75,86
E11,V06,53.5,84
E11,V07,56.75,85
E11,V08,49.0,85
E11,V09,59.5,85
E11,V11,46.0,84
E11,V13,59.0,85
E11,V14,56.75,85
E11,V15,54.5,85
E14,E15,61.5,87
E14,S01,44.5,86
E14,S03,43.75,87
E14,S04,43.25,87
E14,S05,55.25,87
E14,S06,50.0,87
E14,S07,50.75,86
E14,S09,51.5,85
E14,S10,44.0,84
E14,S11,54.5,87
E14,S12,44.25,86
E14,S13,44.25,87
E14,S14,45.5,84
E14,S15,45.25,86
E14,V01,50.75,85
E14,V02,51.5,85
E14,V04,46.5,86
E14,V05,47.25,86
E14,V06,49.25,84
E14,V07,51.5,85
E14,V08,44.5,85
E14,V09,56.75,85
E14,V11,44.5,84
E14,V13,55.5,85
E14,V14,53.25,85
E14,V15,51.5,85
E15,S01,49.25,86
E15,S03,48.5,87
E15,S04,44.75,87
E15,S05,61.75,87
E15,S06,54.25,87
E15,S07,56.25,86
E15,S09,56.0,85
E15,S10,47.0,84
E15,S11,60.0,87
E15,S12,47.75,86
E15,S13,47.5,87
E15,S14,48.5,84
E15,S15,48.5,86
E15,V01,57.0,85
E15,V02,55.5,85
E15,V04,52.0,86
E15,V05,53.0,86
E15,V06,55.75,84
E15,V07,56.5,85
E15,V08,49.25,85
E15,V09,61.0,85
E15,V11,49.75,84
E15,V12,43.0,84
E15,V13,62.0,85
E15,V14,59.5,85
E15,V15,57.5,85
S01,S03,44.0,86
S01,S05,46.25,86
S01,S07,43.0,85
S01,S09,42.5,85
S01,S11,44.0,86
S01,S14,40.75,83
S01,V01,43.25,84
S01,V02,41.25,84
S01,V06,42.0,83
S01,V07,42.5,84
S01,V09,46.0,84
S01,V13,46.5,84
S01,V14,43.5,84
S01,V15,42.25,84
S03,S05,45.0,87
S03,S06,41.5,87
S03,S09,42.5,85
S03,S11,43.5,87
S03,V01,43.75,85
S03,V05,40.75,86
S03,V06,42.0,84
S03,V07,42.25,85
S03,V09,43.25,85
S03,V13,46.0,85
S03,V14,42.0,85
S03,V15,43.0,85
S04,S05,43.5,87
S04,S09,41.75,85
S04,V07,41.0,85
S04,V09,45.5,85
S04,V13,44.25,85
S04,V14,42.0,85
S04,V15,40.75,85
S05,S06,51.5,87
S05,S07,53.75,86
S05,S09,52.75,85
S05,S10,44.0,84
S05,S11,56.25,87
S05,S12,46.5,86
S05,S13,46.25,87
S05,S14,46.75,84
S05,S15,45.25,86
S05,V01,54.0,85
S05,V02,50.75,85
S05,V04,50.5,86
S05,V05,49.75,86
S05,V06,54.0,84
S05,V07,53.0,85
S05,V08,46.25,85
S05,V09,58.5,85
S05,V11,47.25,84
S05,V12,41.5,84
S05,V13,60.5,85
S05,V14,55.5,85
S05,V15,54.25,85
S06,S07,47.25,86
S06,S09,48.75,85
S06,S11,49.0,87
S06,S12,40.75,86
S06,S13,41.5,87
S06,S14,41.75,84
S06,S15,42.0,86
S06,V01,49.25,85
S06,V02,47.75,85
S06,V04,45.0,86
S06,V05,47.25,86
S06,V06,45.75,84
S06,V07,48.75,85
S06,V08,43.5,85
S06,V09,52.5,85
S06,V11,45.0,84
S06,V13,53.75,85
S06,V14,50.0,85
S06,V15,46.75,85
S07,S09,49.5,84
S07,S11,50.75,86
S07,S12,41.5,85
S07,S13,42.25,86
S07,S14,44.0,83
S07,S15,43.75,85
S07,V01,50.75,84
S07,V02,49.25,84
S07,V04,47.0,85
S07,V05,46.25,85
S07,V06,48.25,83
S07,V07,49.0,84
S07,V08,43.25,84
S07,V09,54.25,84
S07,V11,44.5,83
S07,V13,55.25,84
S07,V14,52.75,84
S07,V15,49.5,84
S09,S10,41.0,82
S09,S11,52.25,85
S09,S12,42.5,85
S09,S13,43.5,85
S09,S14,44.75,83
S09,S15,42.25,84
S09,V01,48.5,83
S09,V02,47.75,84
S09,V04,46.25,84
S09,V05,46.25,84
S09,V06,48.0,82
S09,V07,49.5,83
S09,V08,42.5,83
S09,V09,54.5,83
S09,V11,43.5,82
S09,V13,54.0,83
S09,V14,52.25,83
S09,V15,49.25,83
S10,S11,42.75,84
S10,V01,41.25,83
